Media Errore
3.14337 0
3.14576 0.00238664
3.1453 0.00145462
3.14578 0.00113508
3.14763 0.00205138
3.14712 0.00174956
3.14869 0.00215428
3.14664 0.00277512
3.14726 0.00252525
3.147 0.00227361
3.14686 0.00206124
3.14667 0.00189156
3.1463 0.00177874
3.14606 0.00166386
3.14564 0.0016046
3.1453 0.00153924
3.14575 0.00151508
3.14627 0.00151995
3.14706 0.00163852
3.14707 0.00155449
3.14663 0.00154304
3.14663 0.00147123
3.14637 0.00142968
3.14645 0.00137123
3.14602 0.00138493
3.1457 0.0013686
3.14509 0.00144909
3.14533 0.00141658
3.14516 0.00137709
3.14446 0.00150279
3.14392 0.00155147
3.14424 0.00153517
3.14412 0.00149256
3.14385 0.00147374
3.1438 0.00143167
3.14366 0.00139894
3.14363 0.00136092
3.14364 0.00132465
3.1434 0.00131077
3.14353 0.00128363
3.1436 0.00125389
3.14367 0.00122597
3.14357 0.00120141
3.14322 0.00122455
3.14259 0.00135455
3.14232 0.00135223
3.14217 0.00133164
3.14234 0.00131443
3.14257 0.00130824
3.14249 0.00128454
3.14226 0.00127854
3.14215 0.00125845
3.14229 0.00124173
3.14221 0.00122106
3.14255 0.00124506
3.14256 0.00122271
3.14262 0.00120268
3.14288 0.00120844
3.14298 0.00119225
3.14293 0.00117314
3.14296 0.00115399
3.14291 0.00113618
3.14263 0.00115312
3.14253 0.00113942
3.14233 0.00113832
3.1425 0.00113329
3.1426 0.00112111
3.14268 0.00110686
3.14255 0.00109823
3.14238 0.00109597
3.14216 0.00110252
3.14208 0.00109008
3.14192 0.00108583
3.14198 0.00107239
3.14189 0.00106146
3.14209 0.00106576
3.14212 0.00105224
3.14235 0.00106556
3.14231 0.00105278
3.14246 0.00104993
3.1424 0.00103877
3.14232 0.00102914
3.1424 0.00101965
3.14246 0.00100927
3.14227 0.00101411
3.14226 0.00100237
3.14215 0.000996763
3.14219 0.000986144
3.14226 0.000977528
3.14224 0.000966851
3.14222 0.000956391
3.14201 0.000967158
3.14218 0.000971637
3.14221 0.000961638
3.14221 0.000951482
3.14211 0.000946693
3.1422 0.000941076
3.14233 0.00094052
3.14236 0.000931685
3.14253 0.000936844
