Media Errore
3.13058 0
3.13231 0.00173142
3.13623 0.00404512
3.13908 0.00403612
3.13989 0.00323018
3.14245 0.00367149
3.14251 0.00310368
3.14174 0.00279583
3.14182 0.00246692
3.14241 0.00228448
3.14308 0.00217223
3.14343 0.00201348
3.14353 0.00185474
3.14386 0.00174854
3.14398 0.00163186
3.14481 0.00174144
3.14428 0.00171996
3.14395 0.00165501
3.14295 0.00185787
3.14284 0.00176575
3.1435 0.00180117
3.14374 0.0017345
3.14373 0.00165739
3.14403 0.00161464
3.14416 0.00155453
3.1435 0.00163543
3.14345 0.00157448
3.14348 0.00151756
3.14324 0.00148345
3.14282 0.00149453
3.143 0.00145708
3.1428 0.00142574
3.14231 0.00146575
3.14254 0.00144049
3.14209 0.00146788
3.14175 0.00146623
3.14117 0.00154238
3.14102 0.00150836
3.14118 0.00147774
3.14099 0.00145297
3.14125 0.00144128
3.14122 0.00140685
3.14132 0.00137739
3.14127 0.00134654
3.14149 0.00133373
3.14154 0.00130551
3.14162 0.00127985
3.14154 0.0012555
3.14141 0.00123627
3.14138 0.00121168
3.14142 0.00118822
3.14145 0.00116555
3.1416 0.0011528
3.14152 0.00113407
3.14148 0.00111383
3.14152 0.00109462
3.14151 0.00107534
3.14166 0.00106805
3.14162 0.00105058
3.14141 0.0010554
3.14138 0.00103823
3.14142 0.00102189
3.14127 0.00101652
3.14129 0.00100072
3.14136 0.000988129
3.14157 0.000994689
3.14133 0.00100759
3.1415 0.00100621
3.14133 0.00100583
3.14144 0.000997163
3.1415 0.00098511
3.14152 0.000971456
3.14152 0.000958064
3.1415 0.000945173
3.14137 0.00094252
3.14096 0.00101348
3.14085 0.00100627
3.1408 0.000994593
3.1408 0.000981926
3.14081 0.00096963
3.14074 0.000960242
3.14068 0.000950618
3.14052 0.000951899
3.14042 0.000946295
3.14037 0.000936082
3.14028 0.0009298
3.14022 0.000920988
3.14049 0.000950958
3.14052 0.000940684
3.14038 0.00094054
3.14019 0.000949583
3.14023 0.000940041
3.14008 0.000942128
3.14015 0.000934255
3.14023 0.000928088
3.14016 0.000920841
3.14016 0.000911298
3.14015 0.000901988
3.14013 0.000893263
3.14023 0.000890956
