Media Errore
1 0
1.40999 0.0407884
1.73039 0.0397048
2.00128 0.0411259
2.23615 0.0430419
2.44372 0.0408703
2.64298 0.0373529
2.82982 0.0380917
3.0069 0.0378446
3.16785 0.0386901
3.31819 0.0425354
3.47664 0.0442175
3.62346 0.0458613
3.76424 0.0437145
3.8915 0.0426528
4.00936 0.0412175
4.12351 0.0405473
4.24796 0.0409796
4.35986 0.0435967
4.47666 0.0442063
4.58305 0.0436995
4.69251 0.0435381
4.7952 0.0425695
4.90049 0.0419794
4.9901 0.0432432
5.07713 0.0419646
5.16911 0.0433326
5.26278 0.0421462
5.35443 0.0427826
5.44812 0.0441014
5.53432 0.0456362
5.63041 0.0459195
5.71952 0.0464468
5.81225 0.0458501
5.90131 0.0435729
5.99498 0.0443514
6.06913 0.0435144
6.15409 0.0431952
6.23552 0.0423287
6.31497 0.0404084
6.38572 0.0395328
6.47033 0.0394358
6.55011 0.0393934
6.62328 0.0412893
6.695 0.0402953
6.76789 0.039534
6.83747 0.0390755
6.90269 0.0397112
6.96892 0.0391425
7.03941 0.0381557
7.10564 0.0381502
7.16954 0.0382516
7.24592 0.037939
7.3205 0.0362868
7.37893 0.0372018
7.45213 0.0377933
7.52333 0.0372016
7.58562 0.0358711
7.65986 0.036198
7.72495 0.0363956
7.79393 0.0371615
7.85418 0.0364321
7.92386 0.0372012
7.98926 0.036845
8.05264 0.0367738
8.12679 0.0367616
8.18312 0.0371443
8.24269 0.0375929
8.30473 0.037922
8.36416 0.0373343
8.4221 0.0374138
8.47837 0.0372597
8.53814 0.0376997
8.59633 0.038131
8.65196 0.0381502
8.71275 0.0377272
8.7646 0.0366108
8.82267 0.0369344
8.87395 0.0373948
8.92434 0.037828
8.98828 0.0387681
9.05013 0.0387283
9.10836 0.0391117
9.15909 0.0399485
9.20416 0.0401439
9.25549 0.0389358
9.31509 0.0380862
9.36145 0.037613
9.41895 0.0373386
9.46606 0.0372596
9.5289 0.0364898
9.58139 0.0365729
9.63633 0.0363538
9.69196 0.0367772
9.75279 0.0376419
9.79906 0.0375929
9.84171 0.0381165
9.8956 0.0379353
9.94265 0.0383748
9.9821 0.038735
