Direct_Call err_Call  Direct_Put err_Put
14.9843 0 5.85463 0
14.9635 0.0208285 5.72678 0.127847
14.8989 0.0656797 5.62396 0.126574
15.1125 0.218575 5.61098 0.0904375
15.1194 0.169448 5.47873 0.149661
15.0879 0.141898 5.42195 0.134742
15.0619 0.122705 5.46414 0.121441
15.0271 0.111806 5.52946 0.123805
15.0087 0.10031 5.51392 0.110287
15.0835 0.11682 5.50763 0.0988441
15.1618 0.131462 5.46273 0.100049
15.0062 0.196458 5.4674 0.0914515
14.9179 0.201142 5.47572 0.0845326
14.8681 0.192763 5.46916 0.0785359
14.9451 0.195291 5.43784 0.0795398
14.9541 0.182896 5.44489 0.0747358
15.0347 0.189783 5.40828 0.0791736
15.0278 0.17906 5.44165 0.0817642
15.0344 0.1695 5.44162 0.0773412
15.0116 0.162412 5.43291 0.0738864
15.0108 0.154487 5.43565 0.0703332
14.9849 0.14956 5.44389 0.0675644
15.0153 0.146103 5.43224 0.0656037
15.0469 0.143414 5.43351 0.0628236
15.0364 0.137955 5.43359 0.0602584
15.0347 0.132554 5.44272 0.058609
15.0315 0.127589 5.45675 0.0581164
15.0057 0.125644 5.46588 0.0567416
15.0022 0.121285 5.46897 0.054837
15.0048 0.117201 5.46653 0.0530337
15.0275 0.115623 5.47031 0.0514341
15.0276 0.111951 5.48641 0.0523367
15.0245 0.10855 5.47647 0.0516907
15.0128 0.105962 5.48022 0.0502878
14.9909 0.105197 5.47412 0.0492102
15.0285 0.108918 5.46567 0.0485647
15.0218 0.10614 5.47079 0.0475103
15.0094 0.104061 5.47734 0.0467049
14.9972 0.102084 5.48106 0.0456437
15.0019 0.0996124 5.4818 0.0444942
14.9977 0.097246 5.47125 0.0446608
14.9857 0.0956499 5.4744 0.0436981
14.9805 0.0935461 5.48449 0.043847
14.9664 0.0924779 5.49433 0.0439545
14.9827 0.0918587 5.48731 0.0435364
15.0135 0.0949791 5.47983 0.0432313
15.0285 0.0941401 5.47874 0.0423154
15.0222 0.0923729 5.47502 0.0415917
15.0131 0.0909288 5.46094 0.0430992
15.0148 0.0891074 5.46361 0.0423129
14.9988 0.0887894 5.46495 0.0414967
14.997 0.0870828 5.46416 0.0406987
14.9947 0.085455 5.46184 0.0399907
15.0061 0.0846284 5.45947 0.0393149
15.0103 0.0831805 5.46943 0.0398603
15.0224 0.0825749 5.46031 0.0401905
15.0285 0.0813397 5.46258 0.0395439
15.0158 0.0809272 5.45842 0.0390775
15.0022 0.0806895 5.46526 0.0390131
15.0059 0.0794155 5.45635 0.0393792
15.0192 0.079234 5.45161 0.0390168
15.0082 0.0787243 5.45095 0.038388
15.004 0.0775771 5.45106 0.0377739
14.9922 0.0772564 5.45565 0.0374611
14.9836 0.0765446 5.46263 0.0375364
14.9946 0.0761766 5.46243 0.0369638
14.9915 0.0750964 5.46549 0.0365361
14.9926 0.0739925 5.46472 0.0360029
14.9837 0.0734563 5.46499 0.0354784
14.9796 0.0725163 5.46215 0.0350833
14.9779 0.0715065 5.46644 0.034851
14.9685 0.0711297 5.47789 0.0362195
14.9646 0.0702599 5.48413 0.0362608
14.9595 0.069487 5.48566 0.0358003
14.9547 0.0687265 5.48582 0.0353201
14.9397 0.0694597 5.48324 0.0349475
14.9389 0.0685563 5.48171 0.0345243
14.9246 0.0691645 5.48265 0.0340918
14.926 0.0682983 5.48111 0.0336927
14.9324 0.0677372 5.48237 0.0332927
14.9375 0.0670949 5.48458 0.0329533
14.9415 0.0663901 5.47974 0.0329074
14.9425 0.0655925 5.4797 0.0325085
14.952 0.0655046 5.47911 0.0321245
14.9559 0.0648447 5.47558 0.0319398
14.9546 0.0640985 5.47151 0.0318275
14.9598 0.0635717 5.46649 0.0318584
14.9489 0.0637916 5.4641 0.0315848
14.9479 0.0630785 5.46506 0.0312426
14.9518 0.0624983 5.46492 0.0308938
14.9659 0.0633885 5.46371 0.0305762
14.9675 0.0627165 5.46313 0.0302476
14.9674 0.0620385 5.46288 0.0299217
14.9643 0.0614562 5.46348 0.0296077
14.9517 0.0621008 5.46609 0.0294102
14.9497 0.0614806 5.47072 0.0294683
14.9456 0.0609844 5.47637 0.0297055
14.9451 0.0603611 5.47647 0.029401
14.9483 0.0598334 5.47478 0.0291514
14.9652 0.0616028 5.47181 0.029011
