Discrete_Call err_Call  Discrete_Put err_Put
15.0087 0 5.79158 0
14.8665 0.142147 5.5697 0.221878
15.0022 0.158548 5.38684 0.223267
14.832 0.203796 5.44458 0.168102
14.8301 0.157871 5.50403 0.14314
14.679 0.198639 5.53624 0.121229
14.727 0.174627 5.51166 0.105364
14.7164 0.151603 5.51422 0.0912836
14.7808 0.148379 5.4663 0.0936888
14.7761 0.132797 5.43995 0.0878407
14.7994 0.122355 5.42591 0.0806865
14.8594 0.126829 5.42817 0.0736912
14.8887 0.120275 5.40239 0.0725242
14.8472 0.118822 5.41628 0.0685663
14.8261 0.112608 5.45066 0.0725023
14.7596 0.12462 5.50809 0.0888669
14.7917 0.121393 5.51343 0.0836467
14.82 0.117896 5.48884 0.0826067
14.8436 0.113999 5.47851 0.0788188
14.8177 0.111223 5.50208 0.078402
14.8608 0.114243 5.49748 0.0747169
14.8311 0.112915 5.50158 0.0713577
14.848 0.109221 5.48176 0.0710087
14.8016 0.114403 5.49933 0.0702198
14.8364 0.115121 5.48247 0.0694293
14.8609 0.11327 5.45938 0.0705907
14.8404 0.110891 5.47871 0.0706228
14.8227 0.108316 5.49735 0.0705614
14.8663 0.113248 5.48535 0.0691348
14.8537 0.110136 5.47731 0.0672726
14.85 0.106589 5.48637 0.0656949
14.839 0.103785 5.49527 0.0642284
14.8632 0.103456 5.49557 0.0622524
14.8606 0.1004 5.48462 0.0613792
14.8674 0.0977227 5.48014 0.0597672
14.8633 0.0950579 5.47468 0.0583394
14.8737 0.0930357 5.46997 0.0569363
14.8916 0.092314 5.47294 0.0554972
14.9315 0.098376 5.45723 0.056291
14.905 0.0994815 5.46972 0.05627
14.9245 0.098955 5.45613 0.0565398
14.9192 0.0967166 5.45583 0.055178
14.9241 0.0945697 5.45114 0.0540832
14.9468 0.0951329 5.44264 0.0535198
14.9451 0.0930087 5.45078 0.0529473
14.9435 0.0909797 5.44979 0.0517931
14.9497 0.0892381 5.4477 0.0507219
14.9375 0.0882061 5.44955 0.0496882
14.9224 0.0876891 5.45852 0.0494839
14.9269 0.0860355 5.46027 0.0485157
14.9219 0.0844798 5.46181 0.04758
14.9228 0.0828442 5.45466 0.0472011
14.9264 0.0813439 5.44395 0.0475258
14.9303 0.0799201 5.44854 0.0468633
14.9263 0.0785548 5.45043 0.0460422
14.9329 0.077423 5.45281 0.045275
14.927 0.0762811 5.44964 0.0445863
14.9271 0.0749544 5.44935 0.0438117
14.9412 0.0750108 5.44197 0.0436916
14.9362 0.0739214 5.44099 0.0429683
14.9251 0.0735417 5.43742 0.0424087
14.942 0.0743052 5.43522 0.0417772
14.9219 0.0758321 5.44015 0.041404
14.9347 0.0757221 5.43756 0.0408344
14.9291 0.0747574 5.43801 0.0402037
14.937 0.0740352 5.43673 0.0396106
14.9414 0.0730581 5.43358 0.0391418
14.9409 0.0719774 5.43402 0.0385644
14.9305 0.0716819 5.43445 0.0380039
14.9187 0.0716407 5.4357 0.0374779
14.9123 0.0709155 5.43606 0.036948
14.9173 0.0701083 5.44516 0.0375495
14.9196 0.0691771 5.44647 0.0370547
14.9335 0.0696434 5.44246 0.0367692
14.929 0.0688543 5.44593 0.0364412
14.9243 0.0681027 5.45584 0.0372982
14.931 0.0675415 5.45619 0.0368123
14.938 0.0670379 5.45492 0.0363596
14.9496 0.0671966 5.44911 0.0363626
14.9614 0.0673818 5.44956 0.0359079
14.9653 0.0666603 5.44844 0.0354792
14.9548 0.0666765 5.44763 0.0350533
14.9551 0.0658692 5.449 0.0346554
14.9548 0.0650813 5.44744 0.0342758
14.9446 0.0651082 5.44773 0.0338714
14.9322 0.0655319 5.44974 0.0335355
14.9284 0.0648833 5.4503 0.0331526
14.9412 0.065395 5.45233 0.0328365
14.9436 0.0647013 5.45113 0.032488
14.9594 0.0659031 5.44808 0.0322693
14.9731 0.0665892 5.44172 0.0325389
14.9606 0.0670403 5.44122 0.0321873
14.9617 0.066325 5.43836 0.0319675
14.9538 0.0660876 5.44454 0.0322254
14.9539 0.0653883 5.44478 0.0318853
14.9628 0.0653142 5.43979 0.0319436
14.9537 0.065274 5.43937 0.0316155
14.9548 0.0646139 5.43266 0.0320021
14.9497 0.0641628 5.43542 0.0317975
14.9685 0.0662494 5.42993 0.0319541
