Media Errore
2.50166 0
2.04157 0.460095
1.85307 0.325717
1.69811 0.277595
1.66648 0.217338
1.59709 0.190542
1.70898 0.196093
1.71541 0.169943
1.72986 0.15057
1.70225 0.137475
1.64081 0.138699
1.66837 0.129578
1.71912 0.129552
1.69156 0.123067
1.64431 0.12393
1.68938 0.124376
1.63594 0.128472
1.61533 0.122865
1.57331 0.123582
1.57368 0.117241
1.58298 0.111905
1.5899 0.106922
1.57284 0.103582
1.57781 0.0992963
1.57587 0.0952614
1.58028 0.0916303
1.56716 0.089142
1.5576 0.0864295
1.55146 0.0836215
1.54524 0.0810256
1.53581 0.0789332
1.5186 0.0783416
1.53467 0.0776128
1.52486 0.0759319
1.51896 0.0739664
1.5321 0.073074
1.51642 0.0727796
1.51108 0.07104
1.50145 0.0698613
1.50429 0.0681519
1.50393 0.0664699
1.50363 0.0648686
1.49863 0.0635394
1.49799 0.0620818
1.49626 0.0607114
1.5146 0.0621468
1.51019 0.0609703
1.50843 0.0597123
1.50412 0.0586398
1.50566 0.0574756
1.50953 0.0564702
1.50831 0.0553871
1.5067 0.0543556
1.50876 0.053379
1.50726 0.0524208
1.50518 0.0515184
1.5048 0.0506078
1.49914 0.0500495
1.49415 0.0494458
1.49351 0.0486189
1.48616 0.0483781
1.48434 0.0476259
1.48442 0.0468639
1.48084 0.0462651
1.47517 0.0458985
1.47231 0.0452884
1.47104 0.0446253
1.46623 0.044227
1.46964 0.0437151
1.46798 0.0431181
1.47739 0.0435355
1.47517 0.042984
1.47213 0.0425001
1.47016 0.0419678
1.46722 0.0415091
1.46931 0.0410124
1.46258 0.0410313
1.45736 0.0408374
1.45091 0.0408298
1.45119 0.0403172
1.45448 0.0399524
1.45473 0.0394629
1.45285 0.0390301
1.45424 0.0385875
1.45009 0.0383552
1.45348 0.0380573
1.44875 0.0379126
1.44919 0.0374818
1.45604 0.0376864
1.4709 0.0401186
1.4725 0.0397076
1.47028 0.0393365
1.47516 0.0392165
1.47569 0.0388007
1.4755 0.0383906
1.47768 0.0380514
1.47315 0.0379291
1.4687 0.0378025
1.46606 0.0375116
1.46699 0.0371461
