Media Errore
5.01181 0
5.06974 0.0579296
5.05433 0.0368282
5.01936 0.0435969
5.0281 0.0348812
5.03558 0.0294471
5.05338 0.0305999
5.05675 0.0267135
5.06358 0.0245302
5.06099 0.0220935
5.05831 0.0201634
5.05109 0.0197698
5.04198 0.0203412
5.05027 0.0205754
5.04507 0.0198483
5.04101 0.0190034
5.04441 0.0181708
5.03009 0.0223277
5.02396 0.0219906
5.0205 0.0211484
5.01915 0.0201615
5.01943 0.0192254
5.02159 0.0184971
5.02254 0.0177349
5.02253 0.0170107
5.02397 0.0164061
5.02181 0.0159342
5.01751 0.0159439
5.01403 0.0157732
5.01162 0.0154271
5.00805 0.0153434
5.00999 0.0149823
5.00244 0.0163642
5.0047 0.0160358
5.0073 0.015786
5.00775 0.0153477
5.01237 0.0156279
5.01529 0.0154878
5.01319 0.015231
5.01064 0.0150618
5.01373 0.0150111
5.01513 0.0147155
5.01334 0.0144797
5.01292 0.0141529
5.00771 0.014783
5.0069 0.014481
5.00637 0.0141795
5.00539 0.0139154
5.00805 0.0138863
5.00465 0.0140244
5.00258 0.0139024
5.00397 0.0137039
5.00385 0.0134434
5.00294 0.0132233
5.00371 0.0130036
5.00331 0.0127756
5.00296 0.0125544
5.00423 0.0124012
5.00231 0.0123395
5.00267 0.0121374
5.00265 0.0119368
5.00236 0.0117465
5.00194 0.0115659
5.0044 0.0116452
5.00334 0.0115134
5.00278 0.0113516
5.00306 0.0111845
5.00431 0.0110894
5.00374 0.0109425
5.00439 0.0108045
5.00291 0.0107535
5.00357 0.0106239
5.00472 0.0105402
5.00532 0.0104142
5.00605 0.0102999
5.00526 0.0101937
5.00699 0.0102069
5.00669 0.0100794
5.00663 0.0099512
5.0063 0.00983166
5.00726 0.00975688
5.01176 0.0106365
5.01002 0.0106497
5.01032 0.0105262
5.01169 0.0104924
5.01273 0.0104211
5.01185 0.0103381
5.00959 0.0104659
5.00945 0.0103487
5.00842 0.0102846
5.009 0.0101873
5.00788 0.0101377
5.00696 0.0100699
5.00683 0.00996312
5.00611 0.00988378
5.00693 0.00981457
5.00743 0.009726
5.00443 0.0100849
5.00367 0.0100114
5.005 0.00999976
