Media Errore
1.74596 0
1.69796 0.0479995
1.56371 0.137075
1.52852 0.103119
1.60412 0.109984
1.5852 0.0917737
1.5478 0.0861063
1.52764 0.0772488
1.53141 0.0682313
1.5742 0.0745371
1.57166 0.0674693
1.54191 0.0683974
1.58391 0.0756424
1.59463 0.070847
1.57917 0.0677423
1.56054 0.0660485
1.5947 0.0708256
1.61178 0.0689253
1.62699 0.0669475
1.63503 0.0640179
1.61913 0.0629346
1.60938 0.0607922
1.61775 0.0586884
1.61612 0.0562133
1.60033 0.0561841
1.61782 0.0567441
1.62062 0.0546738
1.61386 0.0531172
1.60711 0.051695
1.61504 0.0505669
1.63807 0.0540602
1.63734 0.0523486
1.64096 0.0508663
1.65056 0.0502732
1.6425 0.0494773
1.6381 0.0482842
1.61927 0.0505947
1.61807 0.0492599
1.60607 0.0494573
1.60455 0.048229
1.60511 0.0470413
1.60428 0.0459151
1.5921 0.0464593
1.58809 0.0455682
1.59409 0.0449468
1.58732 0.0444778
1.58141 0.0439204
1.56723 0.0452731
1.57467 0.0449588
1.57598 0.0440701
1.5737 0.0432577
1.5668 0.0429752
1.57174 0.0424452
1.56334 0.0424894
1.57415 0.0430857
1.56632 0.043027
1.56661 0.0422664
1.5605 0.0419793
1.55662 0.0414428
1.55305 0.0409031
1.55497 0.0402728
1.55463 0.0396193
1.55705 0.0390605
1.5624 0.0388157
1.56714 0.0385064
1.56938 0.0379846
1.5755 0.0379102
1.56997 0.0377557
1.5713 0.0372285
1.58741 0.0400715
1.5904 0.0396163
1.58482 0.0394594
1.5754 0.0400379
1.57422 0.0395106
1.57185 0.0390525
1.59551 0.0452178
1.59364 0.0446659
1.59474 0.0441034
1.59575 0.0435532
1.58943 0.0434676
1.60213 0.0447663
1.59558 0.0446992
1.59046 0.0444531
1.59353 0.0440278
1.58887 0.0437553
1.58264 0.0436897
1.57506 0.0438447
1.57481 0.0433444
1.57706 0.0429136
1.5791 0.0424832
1.57729 0.0420525
1.57381 0.0417385
1.57518 0.0413101
1.57495 0.0408689
1.56704 0.0412038
1.56629 0.0407791
1.56202 0.040582
1.56172 0.0401669
1.56078 0.0397701
1.563 0.039433
