Media Errore
5.22714 0
5.08101 0.146125
5.05726 0.087644
5.04372 0.063436
5.03729 0.0495561
5.04838 0.0419547
5.04323 0.0358305
5.05366 0.032736
5.0566 0.0290198
5.05761 0.0259759
5.05441 0.0237141
5.0574 0.0218541
5.03966 0.0268102
5.03463 0.0253275
5.04069 0.0243458
5.03577 0.0232995
5.02985 0.022672
5.03428 0.0218308
5.02978 0.0211343
5.02826 0.0201074
5.02386 0.0196274
5.02217 0.0187896
5.02827 0.0189614
5.02932 0.0181848
5.02722 0.0175689
5.03584 0.0189537
5.03462 0.0182791
5.02851 0.0186434
5.02537 0.0182604
5.02668 0.0176898
5.02336 0.0174302
5.02629 0.0171302
5.02508 0.0166473
5.0241 0.0161796
5.03031 0.0168913
5.03447 0.0169357
5.03842 0.0169385
5.03538 0.0167656
5.03565 0.0163323
5.0351 0.015928
5.03387 0.0155839
5.03196 0.0153273
5.03482 0.015237
5.034 0.0149093
5.03304 0.0146056
5.03039 0.0145281
5.03175 0.0142809
5.0305 0.014036
5.03317 0.0140029
5.0324 0.0137416
5.03337 0.0135045
5.03361 0.0132445
5.03052 0.0133559
5.02592 0.0138885
5.02579 0.0136343
5.02203 0.0139065
5.02353 0.0137423
5.02277 0.0135242
5.02149 0.0133546
5.02018 0.0131956
5.01902 0.0130295
5.01719 0.0129479
5.01495 0.0129354
5.01427 0.0127496
5.01558 0.0126199
5.01591 0.0124315
5.01515 0.0122683
5.01461 0.0120988
5.01507 0.0119313
5.01323 0.0119037
5.01317 0.0117349
5.01023 0.0119394
5.00879 0.011863
5.00612 0.0120018
5.00542 0.0118611
5.00476 0.0117225
5.00716 0.0118138
5.00737 0.0116633
5.0083 0.0115524
5.00913 0.0114371
5.00724 0.0114513
5.00728 0.0113109
5.00922 0.0113399
5.00781 0.0112927
5.00741 0.011166
5.00689 0.0110475
5.00637 0.0109322
5.00556 0.0108376
5.00501 0.0107293
5.00466 0.0106153
5.00344 0.0105689
5.00281 0.0104722
5.00428 0.0104623
5.00395 0.0103554
5.00274 0.010318
5.00448 0.0103574
5.00325 0.0103234
5.00225 0.0102664
5.00194 0.0101669
4.99987 0.0102756
