Media Errore
5.41752 0
4.97772 0.439795
4.54234 0.50402
4.84107 0.465039
4.83246 0.360321
5.05182 0.366977
5.27143 0.380033
5.28414 0.329363
5.13562 0.326238
5.04472 0.305626
5.10635 0.283237
5.09456 0.258828
5.11486 0.238951
5.06502 0.226772
5.17042 0.235965
5.09507 0.233233
5.03441 0.227327
5.03423 0.214326
5.03041 0.202768
5.09292 0.202265
5.03841 0.199966
5.00698 0.193233
4.9797 0.186645
4.93185 0.184994
4.98882 0.186363
5.00101 0.179466
4.96962 0.175521
4.96124 0.169344
4.95773 0.163438
4.92855 0.16057
4.89845 0.158193
4.8875 0.153561
4.88814 0.148836
4.91564 0.146989
4.91295 0.142752
4.97279 0.151085
4.99673 0.148882
4.99703 0.144911
4.97115 0.1435
4.99176 0.141377
4.99719 0.137993
4.98469 0.135246
4.99765 0.132698
4.97795 0.131135
4.97184 0.128334
4.96616 0.125641
4.95485 0.123458
4.94641 0.121153
4.94352 0.11869
4.95267 0.116652
4.97442 0.116392
4.96781 0.114323
4.96231 0.11228
4.97602 0.11103
4.99133 0.110062
4.98442 0.108299
4.97046 0.107294
4.97801 0.105697
4.97241 0.104041
4.96759 0.102405
4.96739 0.100713
4.95541 0.0997966
4.93905 0.0995536
4.96666 0.101802
4.97102 0.100319
4.9543 0.100192
4.94686 0.0989651
4.94335 0.0975622
4.94804 0.0962521
4.94446 0.0949345
4.95778 0.0945303
4.95962 0.0932264
4.96696 0.0922326
4.97842 0.0916973
4.98302 0.0905832
4.98566 0.0894222
5.00706 0.0908117
5.03189 0.0930146
5.0326 0.0918324
5.04221 0.0911855
5.03606 0.0902628
5.0218 0.090289
5.03392 0.0900152
5.02848 0.0891032
5.04464 0.0895184
5.03795 0.0887239
5.04688 0.0881518
5.03958 0.0874498
5.0225 0.0881329
5.01596 0.0873931
5.01332 0.0864676
4.99861 0.0867786
4.98096 0.0876372
4.97815 0.0867454
4.99718 0.0879113
4.99404 0.0870472
4.98687 0.0864433
4.99552 0.0859931
5.00801 0.0860308
5.00992 0.0851876
