Media Errore
1.51498 0
1.48932 0.0256636
1.50431 0.0210808
1.48963 0.0209281
1.47798 0.0199598
1.47685 0.0163363
1.47787 0.0138442
1.4816 0.0125581
1.48516 0.0116332
1.486 0.0104385
1.48449 0.00956096
1.48091 0.00943505
1.4786 0.00897987
1.47943 0.00835466
1.47762 0.00798508
1.47619 0.00760596
1.47995 0.00807435
1.48302 0.00820973
1.48465 0.00793369
1.48163 0.00810743
1.48181 0.00771368
1.48412 0.00770987
1.48552 0.00749775
1.48893 0.00795032
1.48991 0.00768762
1.49113 0.00748641
1.49083 0.00721003
1.49068 0.00694942
1.48975 0.0067687
1.49027 0.00655932
1.49196 0.00656524
1.49076 0.00646772
1.49149 0.00631102
1.49279 0.00625853
1.49347 0.00611454
1.49338 0.00594293
1.49374 0.00579116
1.49425 0.00566019
1.49521 0.0055951
1.49484 0.00546548
1.49491 0.0053309
1.49496 0.00520271
1.49666 0.00535804
1.49623 0.00525262
1.49567 0.00516579
1.49453 0.00517867
1.49493 0.00508305
1.4941 0.00504375
1.49371 0.0049555
1.49381 0.0048564
1.49352 0.00476893
1.49422 0.00472781
1.49372 0.00466446
1.49371 0.00457727
1.49492 0.00465382
1.4948 0.00457173
1.49443 0.00450574
1.49389 0.00446037
1.49394 0.00438441
1.49515 0.00447872
1.49453 0.0044488
1.49621 0.00468728
1.49586 0.00462521
1.49568 0.00455612
1.49651 0.0045622
1.49604 0.00451664
1.49607 0.0044488
1.4967 0.00442731
1.49783 0.00450895
1.49843 0.00448368
1.49959 0.00457011
1.50005 0.0045291
1.49959 0.00448979
1.49903 0.00446375
1.49838 0.00445128
1.49945 0.00452084
1.50005 0.00450157
1.5 0.00444377
1.50075 0.00445057
1.50112 0.00440993
1.50171 0.00439496
1.50097 0.00440372
1.50103 0.00435074
1.50105 0.00429871
1.50097 0.00424863
1.50098 0.00419894
1.50061 0.00416631
1.50115 0.0041538
1.50104 0.00410827
1.50124 0.00406721
1.5015 0.0040307
1.50079 0.00405037
1.50035 0.00403032
1.49942 0.004094
1.49933 0.00405171
1.49988 0.00404671
1.49958 0.00401575
1.5 0.00399667
1.50002 0.00395615
1.49931 0.00398073
