Media Errore
3.86492 0
3.91042 0.0454952
4.00908 0.1021
4.38309 0.380916
4.44364 0.301204
4.49847 0.25197
4.55853 0.221263
4.58099 0.19293
4.70217 0.208891
4.74054 0.190737
4.83552 0.196947
4.8707 0.183197
4.93228 0.179416
5.01163 0.184087
4.9906 0.172661
5.04902 0.171748
5.01534 0.164808
5.02246 0.155545
5.04893 0.149492
5.05795 0.142107
5.06418 0.135315
5.03363 0.132583
5.08672 0.137361
5.12341 0.136536
5.08006 0.137951
5.07868 0.132546
5.02912 0.136832
5.00967 0.133283
5.01469 0.128703
5.01095 0.124395
4.9752 0.125513
4.97367 0.121537
4.9674 0.117964
4.95827 0.114806
4.96402 0.111626
4.93408 0.112538
4.91828 0.110589
4.9487 0.111856
4.96479 0.110132
4.94458 0.109229
4.94889 0.106619
4.93497 0.104977
4.92598 0.1029
4.88796 0.107482
4.87856 0.105487
4.91328 0.108855
4.90216 0.107092
4.8948 0.105095
4.87496 0.104824
4.87722 0.102731
4.87227 0.100819
4.86263 0.0993298
4.86418 0.0974499
4.89541 0.100599
4.89244 0.098798
4.8722 0.0991074
4.86782 0.0974516
4.84631 0.0981413
4.87721 0.101289
4.87215 0.0997148
4.87936 0.098331
4.87633 0.0967795
4.88431 0.0955646
4.86792 0.0954761
4.87924 0.0946746
4.88482 0.0933959
4.88266 0.0920167
4.9203 0.0981563
4.91591 0.0968228
4.90304 0.0962935
4.89007 0.0958098
4.89113 0.0944758
4.87576 0.0944325
4.87699 0.0931557
4.88404 0.0921752
4.87644 0.0912708
4.87749 0.0900838
4.88112 0.0889953
4.87332 0.0882069
4.88241 0.0875704
4.88619 0.086565
4.88054 0.0856896
4.89395 0.0857067
4.88371 0.0852966
4.87631 0.0846116
4.87161 0.0837539
4.87109 0.0827873
4.89104 0.0842372
4.89352 0.0833224
4.8973 0.0824777
4.90276 0.081749
4.90683 0.0809579
4.89815 0.0805514
4.88862 0.0802572
4.88345 0.079576
4.88786 0.0788658
4.8824 0.0782388
4.86946 0.0785111
4.87535 0.0779372
4.87584 0.0771554
