Media Errore
1.59675 0
1.5394 0.0573463
1.54385 0.0334067
1.53723 0.0245328
1.52561 0.0222732
1.53006 0.0187217
1.52061 0.0184272
1.51554 0.016746
1.51316 0.0149594
1.51462 0.0134592
1.5113 0.0126167
1.50502 0.0131195
1.5007 0.0128175
1.49904 0.0119823
1.49591 0.0115852
1.49679 0.0108721
1.49562 0.0102791
1.49434 0.00977593
1.4946 0.00925077
1.49661 0.00900527
1.49413 0.00891999
1.49623 0.00876018
1.49514 0.00844026
1.49683 0.00825467
1.49788 0.00798716
1.49778 0.00767441
1.4991 0.00750016
1.49873 0.00723641
1.49811 0.00701009
1.50006 0.00704601
1.50113 0.00689935
1.50063 0.0066988
1.50185 0.00660475
1.50167 0.00640999
1.4996 0.00655774
1.49763 0.0066713
1.49972 0.00681663
1.49781 0.00690545
1.49775 0.00672626
1.49688 0.00661398
1.49698 0.0064514
1.49756 0.00632317
1.49676 0.00622597
1.49608 0.00612134
1.49541 0.00602119
1.49526 0.00589059
1.49619 0.00583734
1.49582 0.0057261
1.49622 0.00562235
1.49632 0.00550963
1.49594 0.00541424
1.49567 0.00531567
1.49509 0.00524729
1.49618 0.00526439
1.49604 0.00516977
1.4967 0.0051202
1.49823 0.00525599
1.49905 0.00522842
1.4988 0.00514501
1.49937 0.00509112
1.49941 0.00500713
1.49967 0.00493252
1.49935 0.00486436
1.4981 0.00494806
1.49735 0.00492825
1.49727 0.00485377
1.49753 0.00478785
1.49737 0.00471962
1.49646 0.00473791
1.49572 0.00472888
1.49584 0.00466336
1.49516 0.00464851
1.49523 0.00458498
1.49473 0.00455039
1.49441 0.00450021
1.49511 0.00449543
1.49515 0.0044368
1.49542 0.00438763
1.495 0.00435195
1.49542 0.00431823
1.49546 0.00426475
1.4955 0.0042126
1.49559 0.00416249
1.4956 0.00411265
1.4956 0.00406397
1.49506 0.00405148
1.49534 0.00401414
1.49552 0.00397252
1.49576 0.0039348
1.49584 0.00389161
1.49643 0.0038943
1.49589 0.00388967
1.49589 0.00384762
1.49575 0.00380916
1.49575 0.00376885
1.49572 0.00372953
1.49612 0.00371219
1.49614 0.00367422
1.49688 0.00371072
1.49675 0.00367557
