Media Errore
5.18175 0
5.14102 0.0407346
5.08781 0.0581747
5.02276 0.0769649
5.00951 0.0610713
5.02194 0.0513916
5.04539 0.0493599
5.05782 0.0445175
5.05086 0.0398745
5.04512 0.0361235
5.0318 0.0352836
5.02464 0.0329964
5.02079 0.0305959
5.03004 0.0297989
5.0288 0.0277691
5.0168 0.0286131
5.02434 0.0279164
5.01161 0.0292363
5.00941 0.0277424
5.00041 0.0278145
4.99944 0.0264749
5.0012 0.0253045
5.00641 0.0247338
5.01085 0.0240935
5.01758 0.0240685
5.01958 0.0232108
5.02169 0.0224339
5.0177 0.0219819
5.01784 0.0212108
5.01846 0.0205011
5.01665 0.0199114
5.01557 0.0193094
5.0062 0.0209275
5.00941 0.0205538
5.01356 0.020386
5.01414 0.0198201
5.01573 0.0193421
5.01645 0.01884
5.01468 0.018436
5.01387 0.0179874
5.01739 0.0178924
5.01837 0.0174891
5.01532 0.0173487
5.01695 0.0170283
5.01323 0.0170556
5.01331 0.0166809
5.01245 0.0163446
5.01081 0.0160838
5.01099 0.0157531
5.01123 0.0154367
5.00846 0.0153813
5.0086 0.0150832
5.00726 0.0148564
5.00447 0.0148429
5.00659 0.0147238
5.00533 0.0145134
5.00308 0.0144334
5.00444 0.0142479
5.00542 0.0140383
5.00575 0.0138065
5.00697 0.0136324
5.00717 0.0134122
5.00773 0.0132097
5.00843 0.0130201
5.00898 0.0128302
5.00791 0.0126798
5.00812 0.0124909
5.00843 0.0123098
5.00616 0.0123425
5.00681 0.0121824
5.00649 0.0120138
5.00581 0.0118653
5.00778 0.0118669
5.00758 0.0117072
5.00712 0.011559
5.00555 0.0115135
5.00761 0.0115478
5.00935 0.0115301
5.00788 0.0114776
5.00733 0.0113464
5.00759 0.0112083
5.00923 0.011192
5.00712 0.0112556
5.00741 0.0111245
5.00717 0.0109954
5.00601 0.0109282
5.00447 0.0109118
5.00252 0.0109613
5.00314 0.010855
5.00019 0.0111305
5.00058 0.0110144
4.99847 0.0110971
4.99706 0.0110671
4.99731 0.0109515
4.99663 0.0108565
4.9979 0.0108176
4.99862 0.0107295
4.99683 0.010769
4.9964 0.0106683
4.99599 0.0105691
