Media Errore
75.6211 0
46.2239 29.3972
32.2509 21.9843
25.4153 16.9818
21.2766 13.7897
18.6444 11.5629
16.6409 9.97566
15.2601 8.74882
14.2388 7.78304
13.267 7.02887
12.6048 6.39224
12.0727 5.8595
11.5929 5.41127
11.2197 5.02375
10.8049 4.69521
10.501 4.40247
10.1443 4.15075
9.84055 3.92514
9.61922 3.7194
9.37109 3.53725
9.11954 3.37398
8.96847 3.22051
8.83784 3.08008
8.69688 2.95232
8.51443 2.83763
8.37763 2.72974
8.23995 2.6303
8.08134 2.53958
7.97618 2.4527
7.87398 2.37173
7.74409 2.29763
7.62331 2.22794
7.56381 2.16019
7.45263 2.09864
7.39869 2.03851
7.34994 1.98168
7.25364 1.92978
7.23283 1.87843
7.15182 1.83142
7.09814 1.78585
7.0341 1.74293
6.96489 1.70233
6.9037 1.6634
6.85708 1.62582
6.82647 1.58958
6.80973 1.55473
6.74266 1.52277
6.71956 1.49088
6.66661 1.4611
6.62517 1.43218
6.58178 1.40449
6.53119 1.37814
6.48802 1.35258
6.48814 1.32729
6.46407 1.30316
6.41015 1.28081
6.37969 1.25851
6.34565 1.23709
6.36538 1.2161
6.32585 1.19631
6.29422 1.17696
6.27089 1.15806
6.28348 1.1396
6.26545 1.1218
6.25346 1.10447
6.21939 1.08814
6.19822 1.07198
6.19106 1.05613
6.16731 1.04098
6.14369 1.02627
6.11913 1.01201
6.11072 0.997893
6.09711 0.984222
6.08136 0.970959
6.08195 0.957925
6.06073 0.945475
6.05685 0.933124
6.04968 0.921111
6.02714 0.909656
6.00856 0.898405
6.00119 0.887275
5.97487 0.876783
5.96022 0.866279
5.94637 0.856016
5.9318 0.846011
5.91455 0.836293
5.90676 0.826661
5.91076 0.817223
5.91397 0.807995
5.92095 0.798998
5.9059 0.790312
5.8817 0.782049
5.86988 0.773684
5.85066 0.765651
5.83675 0.757676
5.82564 0.749824
5.80768 0.742271
5.78874 0.734902
5.78411 0.727456
5.7777 0.720173
