Media Errore
88.9309 0
79.2219 9.70901
70.4413 10.4173
61.1895 11.8261
51.4146 13.3964
43.2054 13.676
37.2766 12.9902
32.7702 12.1188
29.2754 11.2447
26.5074 10.4315
24.2301 9.70659
22.3271 9.0629
20.7441 8.48562
19.4059 7.96931
18.2039 7.51576
17.1566 7.10794
16.2973 6.73181
15.5006 6.39662
14.7683 6.09476
14.1372 5.81633
13.5447 5.56407
12.9865 5.33442
12.4949 5.12087
12.0384 4.92406
11.5982 4.74346
11.247 4.57088
10.8959 4.41233
10.5657 4.26463
10.2434 4.12755
9.95393 3.99808
9.67776 3.87681
9.42192 3.76241
9.18675 3.65419
8.96875 3.55179
8.75295 3.45556
8.5437 3.36471
8.34019 3.27883
8.15924 3.19651
7.98218 3.1185
7.82523 3.04358
7.67695 2.97212
7.52841 2.9043
7.38654 2.8395
7.24925 2.77761
7.12321 2.71811
6.99613 2.6614
6.88748 2.60642
6.76512 2.55447
6.66849 2.50366
6.56705 2.45518
6.46385 2.40877
6.3705 2.36383
6.28598 2.32034
6.19061 2.27897
6.12536 2.2381
6.03541 2.19961
5.95432 2.16219
5.87672 2.12601
5.80065 2.09104
5.72197 2.0574
5.65485 2.02451
5.58591 1.99278
5.52135 1.96196
5.45801 1.9321
5.40341 1.90292
5.34835 1.87468
5.30354 1.84703
5.24467 1.82062
5.19436 1.79474
5.15231 1.76942
5.10456 1.74497
5.05427 1.7213
5.00238 1.69835
4.95497 1.67591
4.90789 1.65408
4.88746 1.6323
4.83934 1.61168
4.80204 1.59132
4.75294 1.57182
4.70972 1.55265
4.68923 1.5335
4.64627 1.51529
4.6056 1.49747
4.57105 1.47994
4.52835 1.46305
4.48699 1.44653
4.4491 1.43031
4.42014 1.41426
4.38679 1.39867
4.3552 1.38341
4.32296 1.3685
4.28847 1.35398
4.26293 1.33959
4.23465 1.32556
4.20227 1.31193
4.17133 1.29857
4.13994 1.28549
4.11331 1.27259
4.08793 1.25992
4.06342 1.2475
