Media Errore
1.54589 0
1.51271 0.0331825
1.53744 0.0312804
1.54247 0.0226845
1.52018 0.0283798
1.52499 0.0236652
1.51683 0.0216001
1.51549 0.0187543
1.52058 0.0173044
1.51394 0.0168431
1.50992 0.0157556
1.50612 0.0148762
1.49901 0.0154212
1.49751 0.0143554
1.4944 0.0137227
1.49176 0.0131049
1.49108 0.0123287
1.49134 0.0116265
1.49277 0.0110902
1.49371 0.0105637
1.49127 0.0103408
1.49401 0.010233
1.49378 0.00978064
1.49418 0.00937242
1.4958 0.00913484
1.49716 0.00888115
1.49861 0.00866795
1.49768 0.00840361
1.49677 0.00815949
1.49766 0.00793216
1.49908 0.0078031
1.49854 0.00757491
1.49879 0.00734628
1.49948 0.00715975
1.50051 0.00702884
1.49926 0.00694572
1.50139 0.00708489
1.50052 0.00695093
1.50061 0.00677093
1.50049 0.00660058
1.50104 0.00646119
1.50142 0.00631728
1.50132 0.00616947
1.50035 0.00610532
1.5004 0.00596829
1.50115 0.00588556
1.50264 0.00594786
1.50198 0.00585931
1.50235 0.00575048
1.5032 0.00569804
1.50329 0.00558579
1.5024 0.00554807
1.50208 0.00545221
1.50323 0.00547365
1.5039 0.00541453
1.50425 0.00532857
1.50538 0.00535438
1.50645 0.00537041
1.50631 0.00528069
1.50609 0.00519657
1.50605 0.00511084
1.50576 0.00503578
1.5057 0.00495563
1.50482 0.00495549
1.50404 0.00494084
1.50475 0.00491694
1.50485 0.00484404
1.50481 0.00477244
1.50371 0.00483068
1.50307 0.00480405
1.50321 0.00473804
1.50271 0.0046987
1.50214 0.00466814
1.50101 0.00474058
1.50108 0.00467735
1.50196 0.00469982
1.50147 0.0046639
1.50197 0.00463074
1.50181 0.00457482
1.50229 0.00454278
1.5022 0.00448726
1.50261 0.00445169
1.50275 0.00439999
1.50292 0.00435051
1.50321 0.0043088
1.50264 0.00429686
1.50273 0.00424809
1.50319 0.00422511
1.50346 0.004186
1.50362 0.00414231
1.50408 0.00412309
1.50345 0.0041278
1.50313 0.00409555
1.50298 0.00405455
1.50275 0.00401804
1.5028 0.00397623
1.50292 0.00393706
1.50278 0.00389942
1.50395 0.00403366
1.50378 0.00399677
