Temp            mu         sigma        energy           err
0.1      0.605662      0.717479     -0.331816    0.00124058
0.0995      0.605662      0.717479     -0.328952    0.00121892
0.099      0.605662      0.717479     -0.330603    0.00131273
0.0985      0.629263      0.729719     -0.343783    0.00134209
0.098      0.658069      0.844808     -0.288498    0.00266561
0.0975      0.658069      0.844808     -0.289888    0.00284424
0.097      0.622823      0.817006     -0.306771    0.00218875
0.0965      0.670043      0.707875     -0.373547    0.00122972
0.096      0.636399      0.744134     -0.347859     0.0013661
0.0955      0.636399      0.744134     -0.340657    0.00152717
0.095      0.576451      0.703329     -0.308635     0.0012801
0.0945      0.695175      0.721417     -0.378346    0.00147143
0.094      0.695175      0.721417     -0.377867    0.00133892
0.0935      0.695175      0.721417     -0.376123    0.00148716
0.093      0.615648      0.680151     -0.340904    0.00102891
0.0925      0.498862      0.576172     -0.153736    0.00159347
0.092      0.410101      0.664348     -0.114738    0.00178571
0.0915      0.410101      0.664348     -0.112669    0.00146814
0.091      0.411012      0.672519     -0.125183    0.00173511
0.0905      0.463109      0.616917     -0.135561    0.00152014
0.09      0.548883      0.711247     -0.289844    0.00113794
0.0895      0.545297      0.623591     -0.253934    0.00125764
0.089      0.645263      0.517213     -0.292892    0.00164404
0.0885      0.696474      0.529993     -0.349467    0.00142766
0.088      0.815161      0.570805     -0.424871   0.000981667
0.0875      0.704901      0.542964      -0.36933     0.0012686
0.087      0.704901      0.542964     -0.371372    0.00116436
0.0865      0.704901      0.542964     -0.371084    0.00125368
0.086      0.733437      0.524073     -0.352289    0.00176465
0.0855      0.794382      0.635837     -0.441675    0.00100408
0.085      0.794382      0.635837      -0.44242   0.000945513
0.0845      0.794382      0.635837     -0.442068   0.000890808
0.084      0.794382      0.635837     -0.442075    0.00101094
0.0835      0.738713      0.594098     -0.427269   0.000847897
0.083      0.672056      0.573248     -0.374393    0.00095269
0.0825      0.753058      0.665338     -0.424585   0.000985262
0.082       0.69657      0.779099     -0.338592     0.0022804
0.0815      0.780546      0.675848     -0.421298    0.00124374
0.081      0.794124      0.559473     -0.415925    0.00127716
0.0805      0.799127      0.553026     -0.407366    0.00108545
0.08      0.799127      0.553026     -0.406757     0.0011762
0.0795      0.799127      0.553026     -0.407081    0.00116348
0.079      0.854704       0.53336     -0.358548    0.00132762
0.0785      0.816288      0.633211     -0.441225    0.00100006
0.078      0.702491       0.65235     -0.408911   0.000793007
0.0775      0.702491       0.65235     -0.408192   0.000904845
0.077      0.658203      0.643029     -0.377643    0.00083525
0.0765      0.594623      0.597899     -0.303704    0.00117558
0.076      0.594623      0.597899     -0.302954    0.00106152
0.0755      0.713393      0.496267     -0.282365    0.00200701
0.075      0.765992      0.558025     -0.412077     0.0011255
0.0745      0.765992      0.558025     -0.411839   0.000935247
0.074      0.765992      0.558025     -0.411048     0.0010085
0.0735      0.765992      0.558025     -0.410992   0.000882145
0.073      0.809774      0.626412     -0.443838   0.000762758
0.0725      0.862844      0.559801     -0.398388    0.00129548
0.072      0.774537      0.636645     -0.439165   0.000805886
0.0715      0.774537      0.636645     -0.440093   0.000880458
0.071      0.774537      0.636645      -0.44077   0.000772954
0.0705      0.774537      0.636645     -0.438761   0.000903927
0.07      0.801064      0.623724     -0.443438   0.000834545
0.0695      0.772574      0.718446     -0.389706    0.00162365
0.069      0.894001      0.709036     -0.340163     0.0024039
0.0685      0.894001      0.709036     -0.338197    0.00233321
0.068       0.87566      0.708471     -0.354705    0.00224267
0.0675       0.87566      0.708471     -0.355537    0.00233431
0.067      0.907512      0.598995       -0.3946    0.00109568
0.0665      0.829314      0.705636     -0.388925     0.0018234
0.066      0.829314      0.705636     -0.388835    0.00207537
0.0655      0.829314      0.705636     -0.384636    0.00208639
0.065      0.889784      0.585082     -0.404209   0.000983968
0.0645      0.932936      0.558825     -0.344559    0.00119221
0.064      0.863125      0.596089     -0.426202   0.000949387
0.0635      0.771201      0.664663     -0.430484   0.000940561
0.063      0.771201      0.664663     -0.426806    0.00109383
0.0625      0.771201      0.664663     -0.429543    0.00101411
