Media Errore
-0.44148 0
-0.448101 0.00662162
-0.445457 0.00464824
-0.44648 0.00344211
-0.44511 0.00299767
-0.444508 0.00252045
-0.444267 0.00214373
-0.442064 0.00288143
-0.441277 0.00266025
-0.44107 0.00238833
-0.441895 0.00231248
-0.44148 0.0021514
-0.441768 0.00199975
-0.441082 0.00197435
-0.44134 0.00185611
-0.440726 0.00184168
-0.440557 0.00173818
-0.441915 0.00212852
-0.441434 0.00207012
-0.442249 0.0021262
-0.441813 0.00206894
-0.442362 0.00204779
-0.442344 0.00195682
-0.442213 0.00187807
-0.442096 0.00180516
-0.442167 0.0017358
-0.442791 0.00178285
-0.442907 0.00172196
-0.442527 0.00170452
-0.442098 0.00170177
-0.442221 0.00165055
-0.442069 0.00160527
-0.441975 0.00155873
-0.442464 0.00158938
-0.442362 0.00154668
-0.442807 0.00156766
-0.442754 0.00152566
-0.442823 0.00148657
-0.442778 0.00144865
-0.442931 0.00142032
-0.443091 0.00139446
-0.44275 0.00140298
-0.442587 0.0013797
-0.442304 0.00137718
-0.442077 0.00136537
-0.442305 0.00135475
-0.442367 0.00132707
-0.442636 0.00132657
-0.442723 0.00130218
-0.442516 0.00129271
-0.442689 0.00127898
-0.442477 0.00127205
-0.442464 0.00124789
-0.442539 0.00122686
-0.442806 0.00123363
-0.442866 0.0012129
-0.442796 0.00119348
-0.44287 0.00117501
-0.442843 0.00115523
-0.442952 0.00114104
-0.44315 0.00113953
-0.443207 0.00112241
-0.443381 0.00111808
-0.443333 0.00110151
-0.443303 0.00108483
-0.443422 0.00107479
-0.443332 0.00106243
-0.443348 0.00104683
-0.443091 0.00106329
-0.443006 0.00105138
-0.443026 0.00103665
-0.443004 0.00102239
-0.44307 0.00101047
-0.443131 0.00099859
-0.443008 0.000992879
-0.443112 0.000985204
-0.442949 0.000985789
-0.442876 0.000975828
-0.442837 0.000964185
-0.443005 0.00096675
-0.443097 0.000959146
-0.443216 0.000954902
-0.443239 0.000943605
-0.443347 0.000938562
-0.443389 0.000928408
-0.443465 0.000920638
-0.443519 0.000911587
-0.443545 0.000901546
-0.44356 0.000891497
-0.44357 0.000881588
-0.443617 0.000873137
-0.443603 0.000863723
-0.443522 0.000858149
-0.44362 0.000854581
-0.443686 0.000848116
-0.443703 0.000839397
-0.443644 0.000832733
-0.443494 0.000837878
-0.443445 0.000830808
-0.443393 0.000824089
