mu         sigma        energy           err         delta       acc/att    iterations
0.6           0.4      0.164158    0.00381831           3.5        0.5073            15
0.6          0.42     0.0376235     0.0032426           3.8        0.4972            12
0.6          0.44    -0.0550047     0.0028668             4        0.4963            10
0.6          0.46      -0.12896    0.00229081             4        0.5072            10
0.6          0.48     -0.180305    0.00195166           4.2        0.4907             8
0.6           0.5     -0.223691    0.00199983           4.2        0.4991             8
0.6          0.52     -0.251075    0.00151664           4.3        0.4966             7
0.6          0.54     -0.273306    0.00143212           4.3        0.5006             7
0.6          0.56     -0.288903       0.00104           4.2        0.4995             8
0.6          0.58     -0.303424    0.00109794           4.2        0.5013            10
0.6           0.6      -0.31095    0.00100585           4.3        0.4937             7
0.6          0.62     -0.317375     0.0009949           4.3        0.4916             7
0.6          0.64     -0.320405    0.00107231           4.2          0.51             8
0.6          0.66     -0.325213     0.0010362           4.3        0.4916             7
0.6          0.68     -0.325728    0.00108077           4.3        0.4986             7
0.6           0.7     -0.326906    0.00106102           4.4        0.4959             6
0.6          0.72     -0.327467    0.00124317           4.5        0.4959             5
0.6          0.74     -0.326598    0.00141099           4.5        0.4912             5
0.6          0.76     -0.320408     0.0016436           4.5         0.492             5
0.6          0.78     -0.320251    0.00159747           4.6        0.4908             4
0.6           0.8     -0.310008    0.00191185           4.6        0.4902             4
0.62           0.4      0.185924    0.00460758           3.5        0.5043            15
0.62          0.42     0.0474743     0.0036563           3.7        0.5026            13
0.62          0.44    -0.0546981    0.00295123             4         0.498            10
0.62          0.46     -0.141016    0.00240372           4.1        0.4961             9
0.62          0.48     -0.198893     0.0019377           4.3        0.4938             7
0.62           0.5     -0.242374    0.00191795           4.3        0.4931             7
0.62          0.52     -0.272048    0.00143477           4.3        0.5015             7
0.62          0.54     -0.298373     0.0013536           4.4        0.4925             6
0.62          0.56     -0.313407    0.00117628           4.5        0.4907             5
0.62          0.58     -0.321335    0.00104241           4.4        0.4937             6
0.62           0.6     -0.333574    0.00105363           4.5        0.5017             5
0.62          0.62     -0.339598    0.00100007           4.5        0.4906             5
0.62          0.64     -0.342428    0.00110104           4.4        0.4935             6
0.62          0.66     -0.344263    0.00107805           4.5        0.4971             5
0.62          0.68     -0.346378    0.00110004           4.4        0.4998             6
0.62           0.7     -0.343805    0.00125145           4.5        0.4904             5
0.62          0.72     -0.340263    0.00156838           4.6        0.4912             4
0.62          0.74      -0.33721    0.00145801           4.5        0.4928             5
0.62          0.76     -0.328754     0.0018381           4.5        0.5011             5
0.62          0.78     -0.325631    0.00165644           4.7        0.4964             3
0.62           0.8     -0.319529    0.00205864           4.7        0.4912             3
0.64           0.4      0.188794    0.00452826           3.6        0.4962            14
0.64          0.42     0.0464543    0.00329204           3.7        0.4996            13
0.64          0.44    -0.0549976    0.00281007           4.1        0.4929             9
0.64          0.46      -0.14786    0.00245366           4.2        0.4935             8
0.64          0.48     -0.211105    0.00193201           4.3        0.4903             7
0.64           0.5     -0.260141    0.00181125           4.3        0.4917             7
0.64          0.52     -0.292486    0.00145702           4.4        0.4914             6
0.64          0.54     -0.317351    0.00132859           4.5        0.4947             5
0.64          0.56     -0.335731    0.00122194           4.4        0.5064             6
0.64          0.58     -0.346714   0.000934091           4.6        0.5027             4
0.64           0.6     -0.355839   0.000937986           4.5        0.4917             5
0.64          0.62     -0.361613   0.000819024           4.6        0.4916             4
0.64          0.64     -0.362436     0.0010322           4.5        0.5026             7
0.64          0.66     -0.360351     0.0010779           4.6        0.4947             4
0.64          0.68     -0.361727      0.001069           4.6        0.4905             4
0.64           0.7     -0.357522    0.00121823           4.6        0.4941             4
0.64          0.72     -0.353008    0.00129297           4.7        0.4936             3
0.64          0.74     -0.348199    0.00142799           4.8        0.4924             2
0.64          0.76     -0.338608     0.0015865           4.6        0.4953             4
0.64          0.78     -0.332535    0.00168461           4.7        0.4926             3
0.64           0.8     -0.322044    0.00179155           4.7        0.4948             3
0.66           0.4      0.213257    0.00458074           3.6        0.4926            14
0.66          0.42     0.0552869    0.00372799           3.8        0.4951            12
0.66          0.44    -0.0658873    0.00310222           4.1        0.4921             9
0.66          0.46     -0.153621    0.00308401           4.2        0.4926             8
0.66          0.48      -0.22028    0.00197123           4.3        0.5031             7
0.66           0.5     -0.272687    0.00177964           4.4         0.504             6
0.66          0.52     -0.309566    0.00142679           4.5        0.4952             5
0.66          0.54       -0.3346    0.00121692           4.5         0.497             5
0.66          0.56     -0.352492    0.00106466           4.7        0.4912             3
0.66          0.58     -0.366791   0.000984718           4.7        0.5016             3
0.66           0.6     -0.375103   0.000936344           4.7        0.4951             3
0.66          0.62     -0.379248   0.000902424           4.7         0.505             3
0.66          0.64      -0.38066    0.00102165           4.8        0.4909             2
0.66          0.66     -0.378206   0.000937757           4.8        0.4967             2
0.66          0.68     -0.373824    0.00110782           4.8        0.4909             2
0.66           0.7     -0.370659    0.00133017           4.7        0.4998             3
0.66          0.72     -0.361335    0.00139225           4.8        0.4938             2
0.66          0.74     -0.356387    0.00144773           4.7        0.5061             3
0.66          0.76     -0.341363    0.00160605           4.8        0.4935             2
0.66          0.78     -0.335109    0.00176341           4.7        0.5017             3
0.66           0.8     -0.323004    0.00214609           4.9        0.4953             1
0.68           0.4      0.224313    0.00470164           3.6        0.4918            14
0.68          0.42     0.0586108    0.00328675           3.7        0.5003            13
0.68          0.44    -0.0594906    0.00318392             4         0.493            12
0.68          0.46     -0.150795     0.0030119           4.3        0.4902             7
0.68          0.48      -0.22644     0.0022912           4.3        0.5035             7
0.68           0.5     -0.282506    0.00178188           4.5        0.4906             5
0.68          0.52     -0.321691    0.00157224           4.6        0.4947             4
0.68          0.54     -0.351764    0.00136414           4.7        0.4928             3
0.68          0.56     -0.370645    0.00109128           4.8        0.4922             2
0.68          0.58      -0.38349    0.00089296           4.9        0.4913             1
0.68           0.6     -0.391965   0.000919072           4.9        0.5019             1
0.68          0.62     -0.395748   0.000842041           4.8         0.499             2
0.68          0.64     -0.395408   0.000884832           4.9        0.4946             1
0.68          0.66     -0.392689   0.000849102           4.9        0.4945             1
0.68          0.68     -0.388151    0.00106686           4.8        0.5035             2
0.68           0.7     -0.381537    0.00122723           4.9        0.4975             1
0.68          0.72     -0.373692    0.00119658           4.9         0.503             1
0.68          0.74     -0.362844    0.00156151           4.9        0.4955             1
0.68          0.76     -0.352376    0.00176014           4.9        0.4953             1
0.68          0.78     -0.331971    0.00198579           4.9        0.4961             1
0.68           0.8     -0.322991    0.00189375           4.9        0.5038             1
0.7           0.4      0.235588    0.00457169           3.4        0.4912            16
0.7          0.42     0.0730233    0.00394161           3.8        0.4906            12
0.7          0.44    -0.0521844    0.00381808             4        0.4963            14
0.7          0.46     -0.157367    0.00265123           4.2        0.4918             8
0.7          0.48     -0.232208    0.00217717           4.3        0.5046             7
0.7           0.5     -0.290077    0.00178474           4.5         0.497             5
0.7          0.52     -0.331887    0.00181497           4.7        0.4911             3
0.7          0.54     -0.361979    0.00127926           4.6        0.5032             4
0.7          0.56     -0.384572     0.0011578           4.9          0.49             1
0.7          0.58     -0.399759   0.000928446           4.8        0.4967             2
0.7           0.6     -0.406405   0.000747132           4.9        0.4938             1
0.7          0.62     -0.409548   0.000682897           4.9        0.5074             1
0.7          0.64     -0.407947   0.000828171           4.9        0.5045             1
0.7          0.66     -0.404171   0.000983785           4.9        0.5068             1
0.7          0.68     -0.397211    0.00106996           4.9        0.5015             1
0.7           0.7     -0.390279    0.00113416           4.9        0.5075             1
0.7          0.72       -0.3799    0.00143173           4.9        0.5058             1
0.7          0.74     -0.370235    0.00150293           4.9        0.5043             3
0.7          0.76     -0.352679    0.00186172           4.9        0.4963             1
0.7          0.78     -0.337065    0.00221106           4.9        0.5042             1
0.7           0.8     -0.320703    0.00238521           4.9         0.504             1
0.72           0.4      0.254318    0.00420877           3.1        0.4956            19
0.72          0.42     0.0903015    0.00355003           3.6        0.4964            14
0.72          0.44    -0.0418515    0.00343007           3.8        0.4988            12
0.72          0.46     -0.149506    0.00251255           4.2        0.4964             8
0.72          0.48     -0.231539    0.00251503           4.4        0.4946             6
0.72           0.5     -0.294284    0.00186692           4.5        0.5008             5
0.72          0.52     -0.341827    0.00147277           4.7        0.4966             3
0.72          0.54     -0.374184    0.00125398           4.8        0.4918             2
0.72          0.56     -0.399448    0.00107454           4.8        0.5051             2
0.72          0.58     -0.411195   0.000906863           4.9        0.5026             1
0.72           0.6     -0.419417   0.000775492           4.9        0.5078             1
0.72          0.62     -0.422756   0.000665027           4.9        0.5041             1
