index              x              y
1        0.12265        0.16992
2        0.72965        0.33117
3        0.47711        0.57183
4        0.70503        0.08601
5        0.65602        0.90548
6        0.37150        0.83657
7        0.77605        0.02114
8        0.16832        0.57244
9        0.27923        0.54586
10        0.01730        0.58318
11        0.06464        0.75465
12        0.23316        0.19329
13        0.49323        0.75605
14        0.47914        0.49426
15        0.25789        0.23927
16        0.47180        0.58492
17        0.61681        0.58047
18        0.08395        0.15926
19        0.93187        0.75405
20        0.50186        0.02428
21        0.68601        0.36935
22        0.65195        0.21385
23        0.67838        0.09821
24        0.12096        0.68014
25        0.57727        0.84000
26        0.05276        0.45351
27        0.76576        0.97027
28        0.22611        0.99461
29        0.91886        0.93988
30        0.81329        0.01794
31        0.13380        0.05348
32        0.71342        0.11178
33        0.98548        0.39902
34        0.27275        0.25137
