index              x              y
1        0.35874        0.34829
2        0.24110        0.43803
3       -0.06376       -0.49592
4       -0.24408        0.43638
5       -0.49484        0.07165
6       -0.44993       -0.21809
7       -0.13941       -0.48017
8        0.42875        0.25724
9       -0.27839       -0.41533
10        0.41439       -0.27978
11       -0.34569        0.36125
12        0.25874       -0.42784
13        0.08147       -0.49332
14        0.49560        0.06621
15        0.24548        0.43559
16       -0.44910       -0.21980
17       -0.09132        0.49159
18       -0.47939       -0.14208
19        0.49705        0.05425
20       -0.43326       -0.24958
21        0.45932        0.19754
22        0.01462       -0.49979
23        0.05282        0.49720
24        0.17440        0.46860
25       -0.49955        0.02127
26        0.01899       -0.49964
27       -0.49571        0.06535
28       -0.49967        0.01803
29       -0.02479        0.49939
30        0.03369        0.49886
31       -0.49217        0.08814
32       -0.43050       -0.25430
33       -0.37127       -0.33490
34       -0.43744       -0.24216
