index              x              y
1        0.35874        0.34829
2       -0.05815        0.49661
3        0.03680       -0.49864
4       -0.18049       -0.46629
5        0.00756       -0.49994
6        0.35374       -0.35337
7       -0.29360        0.40472
8       -0.49205       -0.08879
9       -0.49037       -0.09768
10        0.01174        0.49986
11        0.49986        0.01165
12       -0.37994        0.32503
13       -0.46009        0.19575
14        0.38898       -0.31416
15       -0.47209       -0.16473
16       -0.43874       -0.23982
