standard Exponential Lorentz
0.122649 0.186231 1
0.331166 0.648393 1
0.705029 0.0899326 1
0.905484 0.464413 1
0.776048 0.0213642 1
0.572439 0.327439 1
0.0173017 0.875098 1
0.754654 0.265473 1
0.493226 1.41078 1
0.49426 0.298263 1
0.471797 0.879277 1
0.580468 0.0876886 1
0.931865 1.40263 1
0.024284 1.15838 1
0.651955 0.24061 1
0.0982145 0.128925 1
0.577269 1.83261 1
0.453507 1.45143 1
0.22611 5.22329 1
0.939875 1.67817 1
0.133804 0.0549627 1
0.111777 4.2319 1
0.272751 0.289504 1
0.282193 0.656872 1
0.214718 0.0180205 1
0.548522 0.299792 1
0.902262 0.146058 1
0.831703 1.38139 1
0.201218 0.17328 1
0.0642171 0.510678 1
0.98646 0.42042 1
0.0286961 1.86929 1
0.576023 1.92213 1
0.848058 0.328427 1
0.95178 2.59311 1
0.29042 1.52291 1
0.830226 1.97437 1
0.144774 0.301691 1
0.547801 0.0922379 1
0.623628 1.21938 1
0.341636 1.4273 1
0.61281 0.239694 1
0.838501 4.868 1
0.0778181 0.0909209 1
0.793058 0.115288 1
0.818053 0.582574 1
0.916148 0.0504079 1
0.269545 2.32664 1
0.82428 1.03883 1
0.258761 0.061966 1
0.0129601 0.475173 1
0.977601 1.73707 1
0.994451 2.22354 1
0.721584 0.912317 1
0.758309 0.596703 1
0.887488 0.444726 1
0.793687 0.331077 1
0.565043 1.19834 1
0.742493 1.03975 1
0.656518 0.351494 1
0.624291 0.997003 1
0.811177 0.524305 1
0.714217 2.01941 1
0.189353 3.48788 1
0.331877 1.95117 1
0.950338 0.96271 1
0.538703 0.3411 1
0.375554 1.08735 1
0.182797 0.00860976 1
0.0363917 0.234129 1
0.326359 0.230618 1
0.469377 0.734609 1
0.0528965 0.841008 1
0.03444 0.346097 1
0.226655 0.186575 1
0.117887 0.0169519 1
0.129179 1.08639 1
0.20123 0.0654232 1
0.55524 0.647546 1
0.00272278 0.494923 1
0.464306 0.226929 1
0.406665 2.72767 1
0.9404 2.59177 1
0.796017 0.340768 1
0.316772 0.678492 1
0.276452 0.414899 1
0.762162 0.728633 1
0.191122 1.10035 1
0.128552 1.19383 1
0.540384 0.570506 1
0.507188 1.25805 1
0.1087 0.0152704 1
0.227309 0.589726 1
0.353772 0.5238 1
0.937103 1.0803 1
0.659979 0.12239 1
0.600722 0.492372 1
0.123018 1.36288 1
0.797921 0.792314 1
0.338997 0.764943 1
0.304051 0.894306 1
0.668515 6.02932 1
0.783439 0.837361 1
0.3883 0.185814 1
0.875059 0.370542 1
0.713437 2.14302 1
0.674181 0.60912 1
0.917968 1.0082 1
0.40814 0.0514817 1
0.666114 0.150184 1
0.0427567 3.37493 1
0.642261 1.66319 1
0.265938 0.289848 1
0.593749 0.106655 1
0.152361 0.371735 1
0.924232 0.0716882 1
0.584638 2.30982 1
0.949207 0.563073 1
0.151972 1.965 1
0.985176 1.53278 1
0.27989 0.863548 1
0.950077 0.713976 1
0.333182 1.17599 1
0.847824 1.173 1
0.924314 0.834031 1
0.115876 0.981527 1
0.971477 2.45496 1
0.951085 0.213802 1
0.10362 1.48078 1
0.0969716 1.27172 1
0.510107 0.482603 1
0.917496 0.268631 1
0.344377 0.470185 1
0.985916 0.274943 1
0.906995 0.202665 1
0.0961431 3.30741 1
0.838807 0.830048 1
0.35271 1.15944 1
0.672912 0.428121 1
